date,station,tobs
2017-01-16,USC00519281,74.0
2017-01-16,USC00519397,67.0
2017-01-16,USC00513117,69.0
2017-01-16,USC00516128,68.0
2017-01-16,USC00514830,76.0
2017-01-17,USC00517948,70.0
2017-01-17,USC00519281,69.0
2017-01-17,USC00519397,66.0
2017-01-17,USC00514830,75.0
2017-01-17,USC00513117,74.0
2017-01-17,USC00516128,69.0
2017-01-18,USC00519281,72.0
2017-01-18,USC00519523,75.0
2017-01-18,USC00517948,73.0
2017-01-18,USC00513117,73.0
2017-01-18,USC00514830,75.0
2017-01-18,USC00519397,72.0
2017-01-18,USC00516128,73.0
2017-01-19,USC00514830,77.0
2017-01-19,USC00519281,71.0
2017-01-19,USC00519397,73.0
2017-01-19,USC00519523,78.0
2017-01-19,USC00516128,71.0
2017-01-19,USC00513117,74.0
2017-01-19,USC00517948,66.0
2017-01-20,USC00514830,74.0
2017-01-20,USC00517948,70.0
2017-01-20,USC00516128,67.0
2017-01-20,USC00519523,73.0
2017-01-20,USC00513117,73.0
2017-01-20,USC00519281,69.0
2017-01-20,USC00519397,71.0
2017-01-21,USC00514830,73.0
2017-01-21,USC00516128,67.0
2017-01-21,USC00513117,72.0
2017-01-21,USC00519397,72.0
2017-01-21,USC00519281,71.0
2017-01-21,USC00519523,74.0
2017-01-22,USC00513117,71.0
2017-01-22,USC00519397,72.0
2017-01-22,USC00519523,74.0
2017-01-22,USC00516128,68.0
2017-01-22,USC00519281,71.0
2017-01-23,USC00514830,75.0
2017-01-23,USC00517948,77.0
2017-01-23,USC00519397,72.0
2017-01-23,USC00513117,71.0
2017-01-23,USC00519523,74.0
2017-01-23,USC00516128,70.0
2017-01-23,USC00519281,72.0
2017-01-24,USC00516128,67.0
2017-01-24,USC00517948,69.0
2017-01-24,USC00519281,72.0
2017-01-24,USC00513117,71.0
2017-01-24,USC00519397,69.0
2017-01-24,USC00519523,74.0
2017-01-25,USC00513117,73.0
2017-01-25,USC00514830,73.0
2017-01-25,USC00519281,69.0
2017-01-25,USC00519523,72.0
2017-01-25,USC00516128,69.0
2017-01-25,USC00519397,72.0
2017-01-25,USC00517948,69.0
2017-01-26,USC00519281,70.0
2017-01-26,USC00514830,74.0
2017-01-26,USC00516128,67.0
2017-01-26,USC00517948,70.0
2017-01-26,USC00519397,71.0
2017-01-26,USC00513117,72.0
2017-01-26,USC00519523,74.0
2017-01-27,USC00519523,74.0
2017-01-27,USC00519397,65.0
2017-01-27,USC00514830,74.0
2017-01-27,USC00513117,63.0
2017-01-27,USC00517948,65.0
2017-01-27,USC00519281,66.0
2017-01-27,USC00516128,69.0
2017-01-28,USC00514830,76.0
2017-01-28,USC00519397,64.0
2017-01-28,USC00513117,71.0
2017-01-28,USC00516128,64.0
2017-01-28,USC00519281,65.0
2017-01-29,USC00513117,71.0
2017-01-29,USC00516128,67.0
2017-01-29,USC00519523,73.0
2017-01-29,USC00519397,67.0
2017-01-29,USC00519281,69.0
2017-01-30,USC00516128,66.0
2017-01-30,USC00517948,68.0
2017-01-30,USC00519523,70.0
2017-01-30,USC00519281,68.0
2017-01-30,USC00519397,67.0
2017-01-30,USC00514830,71.0
2017-01-30,USC00513117,69.0
2017-01-31,USC00516128,65.0
2017-01-31,USC00519397,68.0
2017-01-31,USC00519523,70.0
2017-01-31,USC00519281,68.0
2017-01-31,USC00517948,68.0
2017-01-31,USC00513117,69.0
2017-01-31,USC00514830,70.0
2017-02-01,USC00514830,72.0
2017-02-01,USC00519397,70.0
2017-02-01,USC00519523,70.0
2017-02-01,USC00517948,62.0
2017-02-01,USC00516128,65.0
2017-02-01,USC00513117,69.0
2017-02-01,USC00519281,68.0
2017-02-02,USC00513117,63.0
2017-02-02,USC00519281,59.0
2017-02-02,USC00517948,70.0
2017-02-02,USC00516128,60.0
2017-02-02,USC00519523,64.0
2017-02-02,USC00519397,61.0
2017-02-02,USC00514830,72.0
2017-02-03,USC00519523,62.0
2017-02-03,USC00517948,72.0
2017-02-03,USC00519281,60.0
2017-02-03,USC00519397,65.0
2017-02-03,USC00514830,73.0
2017-02-03,USC00513117,64.0
2017-02-04,USC00519281,70.0
2017-02-04,USC00519523,76.0
2017-02-04,USC00513117,67.0
2017-02-04,USC00516128,66.0
2017-02-04,USC00519397,72.0
2017-02-05,USC00514830,80.0
2017-02-05,USC00513117,75.0
2017-02-05,USC00519281,73.0
2017-02-05,USC00519523,77.0
2017-02-05,USC00519397,73.0
2017-02-05,USC00516128,69.0
2017-02-06,USC00513117,74.0
2017-02-06,USC00514830,77.0
2017-02-06,USC00519281,75.0
2017-02-06,USC00519523,76.0
2017-02-06,USC00519397,76.0
2017-02-06,USC00517948,76.0
2017-02-06,USC00516128,73.0
2017-02-07,USC00514830,76.0
2017-02-07,USC00519281,64.0
2017-02-07,USC00516128,68.0
2017-02-07,USC00513117,67.0
2017-02-07,USC00519523,72.0
2017-02-07,USC00519397,64.0
2017-02-07,USC00517948,67.0
2017-02-08,USC00516128,68.0
2017-02-08,USC00513117,67.0
2017-02-08,USC00519281,59.0
2017-02-08,USC00519523,74.0
2017-02-08,USC00514830,67.0
2017-02-08,USC00519397,62.0
2017-02-08,USC00517948,64.0
2017-02-09,USC00516128,64.0
2017-02-09,USC00517948,64.0
2017-02-09,USC00513117,64.0
2017-02-09,USC00519281,59.0
2017-02-09,USC00519397,61.0
2017-02-09,USC00514830,71.0
2017-02-09,USC00519523,60.0
2017-02-10,USC00516128,70.0
2017-02-10,USC00513117,64.0
2017-02-10,USC00519397,71.0
2017-02-10,USC00519281,62.0
2017-02-10,USC00517948,64.0
2017-02-10,USC00514830,73.0
2017-02-10,USC00519523,74.0
2017-02-11,USC00519281,68.0
2017-02-11,USC00513117,65.0
2017-02-11,USC00519397,69.0
2017-02-11,USC00514830,69.0
2017-02-11,USC00516128,66.0
2017-02-11,USC00519523,70.0
2017-02-12,USC00519523,73.0
2017-02-12,USC00514830,76.0
2017-02-12,USC00516128,65.0
2017-02-12,USC00519397,68.0
2017-02-12,USC00519281,70.0
2017-02-12,USC00513117,67.0
2017-02-13,USC00516128,68.0
2017-02-13,USC00513117,69.0
2017-02-13,USC00519397,74.0
2017-02-13,USC00514830,80.0
2017-02-13,USC00519281,73.0
2017-02-13,USC00517948,77.0
2017-02-13,USC00519523,78.0
2017-02-14,USC00517948,76.0
2017-02-14,USC00519397,75.0
2017-02-14,USC00519281,79.0
2017-02-14,USC00513117,72.0
2017-02-14,USC00514830,79.0
2017-02-14,USC00516128,79.0
2017-02-15,USC00513117,76.0
2017-02-15,USC00517948,73.0
2017-02-15,USC00519523,76.0
2017-02-15,USC00514830,76.0
2017-02-15,USC00519281,75.0
2017-02-15,USC00516128,71.0
2017-02-15,USC00519397,75.0
2017-02-16,USC00514830,73.0
2017-02-16,USC00519523,72.0
2017-02-16,USC00517948,70.0
2017-02-16,USC00519397,71.0
2017-02-16,USC00519281,65.0
2017-02-16,USC00513117,74.0
2017-02-16,USC00516128,72.0
2017-02-17,USC00519523,75.0
2017-02-17,USC00513117,67.0
2017-02-17,USC00517948,69.0
2017-02-17,USC00514830,77.0
2017-02-17,USC00519397,71.0
2017-02-17,USC00519281,70.0
2017-02-18,USC00519397,68.0
2017-02-18,USC00519523,67.0
2017-02-18,USC00519281,74.0
2017-02-18,USC00513117,71.0
2017-02-18,USC00516128,72.0
